ppt_class_name,ppt_download_url,ppt_name
工作汇报PPT,https://ppt.1ppt.com/uploads/soft/2303/1-23031G02151.zip,绿色方格背景的项目总结汇报PPT模板下载
工作汇报PPT,https://ppt.1ppt.com/uploads/soft/2304/1-23042Q62136.zip,商业建筑背景的黄黑配色工作总结汇报PPT模板下载
工作总结PPT,https://ppt.1ppt.com/uploads/soft/2303/1-230324132620.zip,办公桌面人物手势背景的年终工作报告PPT模板下载
工作总结PPT,https://ppt.1ppt.com/uploads/soft/2304/1-230420164643.zip,简约蓝色圆点背景的年中工作复盘PPT模板下载
ppt_class_name,ppt_download_url,ppt_name
工作汇报PPT,https://ppt.1ppt.com/uploads/soft/2303/1-23031G02151.zip,绿色方格背景的项目总结汇报PPT模板下载
工作汇报PPT,https://ppt.1ppt.com/uploads/soft/2304/1-23042Q62136.zip,商业建筑背景的黄黑配色工作总结汇报PPT模板下载
工作总结PPT,https://ppt.1ppt.com/uploads/soft/2303/1-230324132620.zip,办公桌面人物手势背景的年终工作报告PPT模板下载
工作总结PPT,https://ppt.1ppt.com/uploads/soft/2304/1-230420164643.zip,简约蓝色圆点背景的年中工作复盘PPT模板下载
ppt_class_name,ppt_download_url,ppt_name
工作汇报PPT,https://ppt.1ppt.com/uploads/soft/2303/1-23031G02151.zip,绿色方格背景的项目总结汇报PPT模板下载
工作汇报PPT,https://ppt.1ppt.com/uploads/soft/2304/1-23042Q62136.zip,商业建筑背景的黄黑配色工作总结汇报PPT模板下载
工作总结PPT,https://ppt.1ppt.com/uploads/soft/2303/1-230324132620.zip,办公桌面人物手势背景的年终工作报告PPT模板下载
工作总结PPT,https://ppt.1ppt.com/uploads/soft/2304/1-230420164643.zip,简约蓝色圆点背景的年中工作复盘PPT模板下载
